Designator,Mid X,Mid Y,Rotation,Layer
U1,116.45,-152.26,180.0,top
U10,105.08,-87.88,0.0,top
U11,108.74,-83.38,180.0,top
U12,132.1,-63.4,180.0,top
U13,142.684999,-110.65,180.0,top
U14,131.637071,-93.657069,0.0,top
U15,151.377071,-89.422069,0.0,top
U16,149.907928,-97.962929,90.0,top
U17,116.98,-145.1,270.0,bottom
U18,121.65,-38.75,0.0,bottom
U19,125.25,-136.45,270.0,top
U2,143.25,-158.65,270.0,top
U20,130.05,-38.75,0.0,bottom
U3,152.25,-149.6,90.0,bottom
U4,142.12,-147.2875,90.0,top
U5,134.9325,-145.7325,270.0,top
U6,131.02,-147.4,90.0,bottom
U7,110.8425,-123.65,0.0,top
U8,113.9,-103.7,270.0,top
U9,110.75,-63.65,270.0,top
Y1,131.05,-151.6,270.0,top
Y2,149.922928,-100.527929,90.0,top
